職缺流程,用戶,最近更新,添加時間,性別,招募網站,人才智慧行業,人才智慧職能,candidate_id,order_id
PS,Ryan,2026-07-09 12:14,2026-07-03 12:14,男,,,工程,EID-0004,1001
CI,Jackson,2026-07-23 17:26,2026-07-19 17:26,女,,金融業,,EID-0001,1001
II,Ryan,2026-07-07 14:06,2026-07-03 14:06,女,1.0,科技業,工程,EID-0024,1001
PO,Michelle 高孟婕,2026-07-10 18:56,2026-07-05 18:56,,1.0,醫療,產品,EID-0003,1002
PO,Victoria,2026-07-13 13:29,2026-07-11 13:29,,1.0,科技業,產品,EID-0018,1002
split,Victoria,2026-07-15 15:17,2026-07-13 15:17,,,,,EID-0006,1003
fail,Victoria,2026-07-07 16:25,2026-07-05 16:25,,1.0,醫療,業務,EID-0029,1004
PS,Randy,2026-07-13 14:14,2026-07-08 14:14,男,1.0,金融業,業務,EID-0023,1004
fail,Victoria,2026-07-13 15:38,2026-07-08 15:38,男,1.0,醫療,,EID-0011,1004
PS,Ryan,2026-07-01 13:32,2026-06-26 13:32,女,1.0,,產品,EID-0006,1005
added,Jackson,2026-07-25 17:58,2026-07-25 17:58,女,1.0,醫療,,EID-0015,1005
