id,name,status,created_by_id,created_at,updated_at
1,北投麗禧溫泉酒店股份有限公司,pending,7,2026-06-10 14:38,2026-06-10 14:38
2,承億酒店股份有限公司,pending,7,2026-06-12 11:24,2026-06-12 11:24
3,漢來國際飯店股份有限公司南投分公司,pending,7,2026-06-12 11:21,2026-06-12 11:21
4,長榮桂冠股份有限公司,pending,7,2026-06-12 11:17,2026-06-12 11:17
5,鹿港永樂酒店_永樂旅館管理顧問有限公司,pending,7,2026-06-12 11:13,2026-06-12 11:13
6,河堤時尚旅店有限公司,pending,7,2026-06-10 17:35,2026-06-10 17:35
7,有巢氏房屋,pending,5,2026-06-12 10:40,2026-06-12 10:40
8,OpenAI,pending,3,2024-01-10 09:00,2024-01-10 09:00
9,Google,pending,1,2024-02-01 11:00,2024-02-01 11:00
10,NVIDIA,pending,8,2024-03-02 10:00,2024-03-02 10:00
11,Microsoft,pending,,2024-01-05 13:00,2024-01-05 13:00
